,strDrink,strCategory,strDrinkThumb,strIngredients,strInstructions
443,Rum Sour,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/bylfi21504886323.jpg,"Light rum, Lemon juice, Sugar, Orange, Maraschino cherry  ","In a shaker half-filled with ice cubes, combine the rum, lemon juice, and sugar. Shake well. Strain into a sour glass and garnish with the orange slice and the cherry."
444,Rum Toddy,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/athdk71504886286.jpg,"Rum, Powdered sugar, Lemon peel, Water ",Dissolve powdered sugar in water in an old-fashioned glass. Add rum and one ice cube and stir. Add the twist of lemon peel and serve.
445,Russian Spring Punch,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/ctt20s1504373488.jpg,"Vodka, Creme de Cassis, Sugar Syrup, Lemon Juice ","Pour the ingredients into an highball glass, top with Sparkling wine."
446,Rusty Nail,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/yqsvtw1478252982.jpg,"Scotch, Drambuie, Lemon peel   ",Pour the Scotch and Drambuie into an old-fashioned glass almost filled with ice cubes. Stir well. Garnish with the lemon twist.
447,Salty Dog,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/4vfge01504890216.jpg,"Grapefruit juice, Gin, Salt   ","Pour all ingredients over ice cubes in a highball glass. Stir well and serve. (Vodka may be substituted for gin, if preferred.)"
448,San Francisco,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/szmj2d1504889961.jpg,"Vodka, Creme de Banane, Grenadine, Orange juice ","Take a tall glass and put in a few ice cubes, fill the vodka over it and fill with juice then the ""creme"", to end fill in the grenadine but very carefully at the side of the glass so it will lay down in the bottom. garnish with orange and strawberry."
449,Sangria #1,Punch / Party Drink,http://www.thecocktaildb.com/images/media/drink/xrvxpp1441249280.jpg,"Red wine, Sugar, Orange juice, Lemon juice, Cloves, Cinnamon , ",Mix all together in a pitcher and refrigerate. Add cloves and cinnamon sticks to taste. Serve in wine glasses.
450,Sangria - The World's Best,Punch / Party Drink,http://www.thecocktaildb.com/images/media/drink/vysywu1468924264.jpg,"Red wine, Sugar, Lemon, Orange, Apple, Brandy, Soda water ","Mix wine, sugar and fruit, and let sit in the fridge for 18-24 hours. The mixture will have a somewhat syrupy consistency. Before serving stir in brandy and cut the mixture with soda water until it have a thinner, more wine like consistency. Serve from a pitcher in wine glasses."
451,Sazerac,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/vvpxwy1439907208.jpg,"Ricard, Sugar, Peychaud bitters, Water, Bourbon, Lemon peel , ","Rinse a chilled old-fashioned glass with the absinthe, add crushed ice, and set it aside. Stir the remaining ingredients over ice and set it aside. Discard the ice and any excess absinthe from the prepared glass, and strain the drink into the glass. Add the lemon peel for garnish."
452,Scooter,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/twuptu1483388307.jpg,"Brandy, Amaretto, Light cream   ","Shake all ingredients well with cracked ice, strain into a cocktail glass, and serve."
453,Scotch Cobbler,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/1q7coh1504736227.jpg,"Scotch, Brandy, Curacao, Orange, Mint  ","Pour scotch, brandy, and curacao over ice in an old-fashioned glass. Add the orange slice, top with the mint sprig, and serve."
454,Scotch Sour,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/0dnb6k1504890436.jpg,"Scotch, Lime, Powdered sugar, Lemon, Cherry  ","Shake scotch, juice of lime, and powdered sugar with ice and strain into a whiskey sour glass. Decorate with 1/2 slice lemon, top with the cherry, and serve."
455,Scottish Highland Liqueur,Homemade Liqueur,http://www.thecocktaildb.com/images/media/drink/upqvvp1441253441.jpg,"Johnnie Walker, Honey, Angelica root, Fennel seeds, Lemon peel  ","Combine all ingreds in aging container. Cover tightly and shake gently several times during the first 24 hrs. After 24 hrs, remove the lemon zest. Cover again and let stand in a cool, dark place for 2 weeks, shaking gently every other day. Strain through a wire sieve to remove the angelica root and fennel. Return to aging container, cover and let stand undisturbed in a cool dark place for 6 months. Siphon or pour clear liqueur into a sterile bottle. The cloudy dregs may be saved for cooking."
456,Screaming Orgasm,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/x894cs1504388670.jpg,"Vodka, Bailey's irish cream, Kahlua   ","Pour first vodka, then Bailey's, then Kahlua into a cocktail glass over crushed ice. Stir. Caution: use only high quality vodka. Cheap vodka can cause the Bailey's to curdle. Test your brand of vodka by mixing 1 Tsp each of vodka and Bailey's first."
457,Screwdriver,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/8xnyke1504352207.jpg,"Vodka, Orange juice  ",Mix in a highball glass with ice. Garnish and serve.
458,Sea breeze,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/7rfuks1504371562.jpg,"Vodka, Cranberry juice, Grapefruit juice   ",Build all ingredients in a highball glass filled with ice. Garnish with lime wedge.
459,Sex on the Beach,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/twsvwr1469092365.jpg,"Vodka, Peach schnapps, Cranberry juice, Grapefruit juice ",Build all ingredients in a highball glass filled with ice. Garnish with orange slice.
